file,file-chromo,file inter chromo,chromo - file
out1070,3,0,1
out1071,3,0,1
out1072,3,0,1
out1074,3,0,1
out1075,3,0,1
out1077,3,0,1
out1079,3,0,1
out1080,3,0,1
out1083,3,0,1
out1085,3,0,1
out1087,3,0,1
out1089,3,0,1
out1091,3,0,1
out1093,3,0,1
out1095,3,0,1
out1097,3,0,1
out1100,3,0,1
out1102,3,0,1
out1104,3,0,1
out1105,3,0,1
out1106,3,0,1
out1112,3,0,1
out1113,3,0,1
out1114,3,0,1
out1115,3,0,1
out1117,3,0,1
out1118,3,0,1
out1120,3,0,1
out1122,3,0,1
out1123,3,0,1
out1124,3,0,1
out1130,3,0,1
out1132,3,0,1
out1133,3,0,1
out1134,3,0,1
out1137,3,0,1
out1139,3,0,1
out1141,3,0,1
out1142,3,0,1
out1144,3,0,1
out1146,3,0,1
out1148,3,0,1
out1150,3,0,1
out1153,3,0,1
out1154,3,0,1
out1156,3,0,1
out1158,3,0,1
out1159,3,0,1
out1162,3,0,1
out1166,3,0,1
out1170,3,0,1
out1171,3,0,1
out1173,3,0,1
out1175,3,0,1
out1178,3,0,1
out1180,3,0,1
out1182,3,0,1
out1183,3,0,1
out1184,3,0,1
out1187,3,0,1
out1188,3,0,1
out1190,3,0,1
out1192,3,0,1
out1195,3,0,1
out1197,3,0,1
out1199,3,0,1
out1201,3,0,1
out1202,3,0,1
out1204,3,0,1
out1206,3,0,1
out1207,3,0,1
out1208,3,0,1
out1209,3,0,1
out1210,3,0,1
out1212,3,0,1
out1214,3,0,1
out1216,3,0,1
out1218,3,0,1
out1220,3,0,1
out1221,3,0,1
out1222,3,0,1
out1223,3,0,1
out1224,3,0,1
out1225,3,0,1
out1226,3,0,1
out1229,3,0,1
out1231,3,0,1
out1232,3,0,1
out1233,3,0,1
out1235,3,0,1
out1238,3,0,1
out1239,3,0,1
out1241,3,0,1
out1243,3,0,1
out1244,3,0,1
out1246,3,0,1
out1247,3,0,1
out1248,3,0,1
out1252,3,0,1
out1254,3,0,1
out1256,3,0,1
out1258,3,0,1
out1260,3,0,1
