file,file-chromo,file inter chromo,chromo - file
out87,3,0,20
out88,3,0,20
out93,3,0,20
out95,3,0,20
out97,3,0,20
out99,3,0,20
out101,3,0,20
out103,3,0,20
out105,3,0,20
out111,3,0,20
out115,3,0,20
out117,3,0,20
out121,3,0,20
out124,3,0,20
out128,3,0,20
out129,3,0,20
out131,3,0,20
out133,3,0,20
out137,3,0,20
out140,3,0,20
out142,3,0,20
out145,3,0,20
out148,3,0,20
out150,3,0,20
out153,3,0,20
out155,3,0,20
out157,3,0,20
out159,3,0,20
out161,3,0,20
out167,3,0,20
out169,3,0,20
out175,3,0,20
out177,3,0,20
out179,3,0,20
out182,3,0,20
out186,3,0,20
out189,3,0,20
out194,3,0,20
out196,3,0,20
out197,3,0,20
out201,3,0,20
out205,3,0,20
out210,3,0,20
out212,3,0,20
out214,3,0,20
out216,3,0,20
out219,3,0,20
out221,3,0,20
out223,3,0,20
out227,3,0,20
out234,3,0,20
out236,3,0,20
out240,3,0,20
out242,3,0,20
out244,3,0,20
out245,3,0,20
out247,3,0,20
out251,3,0,20
out254,3,0,20
out256,3,0,20
out260,3,0,20
out262,3,0,20
out268,3,0,20
out270,3,0,20
out272,3,0,20
out274,3,0,20
out279,3,0,20
out281,3,0,20
out283,3,0,20
out285,3,0,20
out290,3,0,20
out294,3,0,20
out298,3,0,20
out303,3,0,20
out306,3,0,20
out308,3,0,20
out314,3,0,20
out316,3,0,20
out317,3,0,20
out319,3,0,20
out320,3,0,20
out322,3,0,20
out324,3,0,20
out326,3,0,20
out328,3,0,20
out330,3,0,20
out332,3,0,20
out334,3,0,20
out336,3,0,20
out338,3,0,20
out340,3,0,20
out343,3,0,20
out345,3,0,20
out348,3,0,20
out349,3,0,20
out351,3,0,20
out352,3,0,20
out353,3,0,20
out355,3,0,20
out357,3,0,20
out359,3,0,20
out365,3,0,20
out366,3,0,20
out368,3,0,20
out372,3,0,20
out378,3,0,20
out380,3,0,20
out382,3,0,20
out384,3,0,20
out387,3,0,20
out389,3,0,20
out391,3,0,20
out393,3,0,20
out395,3,0,20
out398,3,0,20
out401,3,0,20
out402,3,0,20
out403,3,0,20
out407,3,0,20
out416,3,0,20
out418,3,0,20
out419,3,0,20
out421,3,0,20
out423,3,0,20
out425,3,0,20
out428,3,0,20
out430,3,0,20
out432,3,0,20
out433,3,0,20
out435,3,0,20
out437,3,0,20
out439,3,0,20
out441,3,0,20
out443,3,0,20
out444,3,0,20
out445,3,0,20
out447,3,0,20
out453,3,0,20
out456,3,0,20
out459,3,0,20
out461,3,0,20
out463,3,0,20
out465,3,0,20
out467,3,0,20
out469,3,0,20
out471,3,0,20
out475,3,0,20
out478,3,0,20
out480,3,0,20
out482,3,0,20
out484,3,0,20
out486,3,0,20
out488,3,0,20
out491,3,0,20
out493,3,0,20
out495,3,0,20
out497,3,0,20
out498,3,0,20
out500,3,0,20
out502,3,0,20
out504,3,0,20
out508,3,0,20
out510,3,0,20
out511,3,0,20
out513,3,0,20
out515,3,0,20
out516,3,0,20
out518,3,0,20
out520,3,0,20
out522,3,0,20
out523,3,0,20
out524,3,0,20
out527,3,0,20
out532,3,0,20
out534,3,0,20
out539,3,0,20
out542,3,0,20
out544,3,0,20
out546,3,0,20
out550,3,0,20
out552,3,0,20
out554,3,0,20
out558,3,0,20
out560,3,0,20
out562,3,0,20
out564,3,0,20
out566,3,0,20
out571,3,0,20
out573,3,0,20
out575,3,0,20
out577,3,0,20
out582,3,0,20
out584,3,0,20
out586,3,0,20
out590,3,0,20
out592,3,0,20
out597,3,0,20
out599,3,0,20
out601,3,0,20
out603,3,0,20
out605,3,0,20
out607,3,0,20
out608,3,0,20
out610,3,0,20
out612,3,0,20
out616,3,0,20
out617,3,0,20
out618,3,0,20
out620,3,0,20
out621,3,0,20
out623,3,0,20
out625,3,0,20
out627,3,0,20
out631,3,0,20
out633,3,0,20
out634,3,0,20
out636,3,0,20
out638,3,0,20
out639,3,0,20
out641,3,0,20
out643,3,0,20
out645,3,0,20
out647,3,0,20
out649,3,0,20
out651,3,0,20
out653,3,0,20
out655,3,0,20
out658,3,0,20
out660,3,0,20
out665,3,0,20
out666,3,0,20
out667,3,0,20
out671,3,0,20
out673,3,0,20
out674,3,0,20
out675,3,0,20
out678,3,0,20
out680,3,0,20
out682,3,0,20
out684,3,0,20
out686,3,0,20
out689,3,0,20
out691,3,0,20
out695,3,0,20
out697,3,0,20
out699,3,0,20
out700,3,0,20
out701,3,0,20
out703,3,0,20
out704,3,0,20
out706,3,0,20
out708,3,0,20
out711,3,0,20
out712,3,0,20
out715,3,0,20
out717,3,0,20
out719,3,0,20
out720,3,0,20
out723,3,0,20
out725,3,0,20
out727,3,0,20
out728,3,0,20
out730,3,0,20
out731,3,0,20
out734,3,0,20
out735,3,0,20
out739,3,0,20
out741,3,0,20
out742,3,0,20
out744,3,0,20
out750,3,0,20
out752,3,0,20
out753,3,0,20
out755,3,0,20
out757,3,0,20
out759,3,0,20
out761,3,0,20
out763,3,0,20
out766,3,0,20
out768,3,0,20
out770,3,0,20
out771,3,0,20
out773,3,0,20
out774,3,0,20
out776,3,0,20
out777,3,0,20
out779,3,0,20
out781,3,0,20
out785,3,0,20
out787,3,0,20
out790,3,0,20
out792,3,0,20
out793,3,0,20
out794,3,0,20
out795,3,0,20
out797,3,0,20
out801,3,0,20
out804,3,0,20
out807,3,0,20
out809,3,0,20
out810,3,0,20
out812,3,0,20
out814,3,0,20
out815,3,0,20
out817,3,0,20
out819,3,0,20
out821,3,0,20
out824,3,0,20
out826,3,0,20
out828,3,0,20
out833,3,0,20
out835,3,0,20
out836,3,0,20
out838,3,0,20
out839,3,0,20
out841,3,0,20
out847,3,0,20
out848,3,0,20
out850,3,0,20
out852,3,0,20
out853,3,0,20
out854,3,0,20
out858,3,0,20
out861,3,0,20
out862,3,0,20
out864,3,0,20
out867,3,0,20
out869,3,0,20
out871,3,0,20
out873,3,0,20
out874,3,0,20
out877,3,0,20
out878,3,0,20
out880,3,0,20
out883,3,0,20
out884,3,0,20
out886,3,0,20
out887,3,0,20
out890,3,0,20
out892,3,0,20
out894,3,0,20
out899,3,0,20
out901,3,0,20
out902,3,0,20
out904,3,0,20
out905,3,0,20
out908,3,0,20
out909,3,0,20
out911,3,0,20
out912,3,0,20
out914,3,0,20
out915,3,0,20
out917,3,0,20
out920,3,0,20
out922,3,0,20
out924,3,0,20
out925,3,0,20
out927,3,0,20
out929,3,0,20
out930,3,0,20
out931,3,0,20
out933,3,0,20
out934,3,0,20
out936,3,0,20
out938,3,0,20
out940,3,0,20
out942,3,0,20
out944,3,0,20
out946,3,0,20
out947,3,0,20
out949,3,0,20
out950,3,0,20
out952,3,0,20
out953,3,0,20
out955,3,0,20
out958,3,0,20
out960,3,0,20
out961,3,0,20
out963,3,0,20
out964,3,0,20
out968,3,0,20
out970,3,0,20
out972,3,0,20
out973,3,0,20
out975,3,0,20
out976,3,0,20
out979,3,0,20
out980,3,0,20
out982,3,0,20
out984,3,0,20
out985,3,0,20
out987,3,0,20
out989,3,0,20
out992,3,0,20
out995,3,0,20
out996,3,0,20
out997,3,0,20
out998,3,0,20
out1000,3,0,20
out1001,3,0,20
out1003,3,0,20
out1005,3,0,20
out1008,3,0,20
out1011,3,0,20
out1012,3,0,20
out1014,3,0,20
out1017,3,0,20
out1019,3,0,20
out1020,3,0,20
out1021,3,0,20
out1022,3,0,20
out1025,3,0,20
out1029,3,0,20
out1030,3,0,20
out1032,3,0,20
out1033,3,0,20
out1035,3,0,20
out1036,3,0,20
out1037,3,0,20
out1039,3,0,20
out1040,3,0,20
out1043,3,0,20
out1045,3,0,20
out1048,3,0,20
out1050,3,0,20
out1056,3,0,20
out1057,3,0,20
out1061,3,0,20
out1062,3,0,20
out1064,3,0,20
out1067,3,0,20
out1070,3,0,20
out1071,3,0,20
out1072,3,0,20
out1077,3,0,20
out1079,3,0,20
out1080,3,0,20
out1083,3,0,20
out1085,3,0,20
out1087,3,0,20
out1089,3,0,20
out1091,3,0,20
out1093,3,0,20
out1095,3,0,20
out1097,3,0,20
out1100,3,0,20
out1102,3,0,20
out1104,3,0,20
out1105,3,0,20
out1106,3,0,20
out1112,3,0,20
out1113,3,0,20
out1114,3,0,20
out1115,3,0,20
out1117,3,0,20
out1118,3,0,20
out1120,3,0,20
out1122,3,0,20
out1123,3,0,20
out1130,3,0,20
out1132,3,0,20
out1133,3,0,20
out1134,3,0,20
out1139,3,0,20
out1141,3,0,20
