Sb	chic
shot	chic
wal	chic
Nf1	chic
Hmgs	chic
sas	Hem
toe	Hem
ken	Hem
sina	Hem
sle	chif
how	S6kII
msi	S6kII
enok	crc
exu	pros
trn	pros
CG12896	pros
MYPT-75D	neur
Su(var)2-10	neur
CycB	neur
sina	neur
fs(2)ltoPP43	neur
Rpd3	neur
dpld	neur
dom	neur
l(3)mbt	neur
tld	neur
tin	neur
CG10641	Rab5
mmy	Rab5
twi	Rab5
eve	Rab5
Hr78	Rab5
cathD	Rab7
RhoGAPp190	Rab7
tow	Rab7
Vhl	Mmp2
rad50	Mmp2
Uba1	Mmp2
tou	Mmp2
bap	W
LIMK1	W
Dif	flfl
qua	fred
Optix	fred
Patj	fred
wus	fred
ecd	fred
dock	Src64B
Hem	Hmgs
fred	Hmgs
sqd	Dat
d4	Dat
bhr	Dat
lwr	Dat
bib	Lac
Sulf1	Lac
emb	Lac
bl	Lac
CG4500	Lac
Moe	Lac
Mitf	Lac
shg	dup
grp	dup
CG9104	dup
Chc	CG3075
zfh1	CG3075
qkr58E-3	Akap200
mask	Akap200
mbl	CG18369
mri	CG18369
CG34417	CG18369
gkt	CG18369
ash2	CG18369
kkv	CG18369
Pen	CG18369
LCBP1	CG18369
dos	CG18369
Pde8	sec23
cos	sec23
bcd	nej
chrw	nej
pbl	nej
cactin	cnk
Hmgs	cnk
sec23	cnk
tum	cnk
sqd	cnk
Taf4	ct
v	ct
Src42A	Pkn
qm	Pkn
CycA	bon
chinmo	bon
Eip74EF	bon
ttk	wal
chic	wal
Set2	wal
CG1942	wal
shn	wal
Idgf4	wal
CG33205	wal
ena	wls
Bap60	E(bx)
Idgf5	E(bx)
E2f2	E(bx)
her	E(bx)
Lac	E(bx)
FKBP59	emb
dpp	emb
wg	emb
pnt	emb
odd	emb
bl	emb
drl	emb
loco	emb
bnb	emb
CG4500	emb
neur	emb
MYPT-75D	CtBP
Su(var)2-10	CtBP
CycB	CtBP
sina	CtBP
Pcaf	CtBP
Iswi	CtBP
shrb	Dad
lic	Dad
slam	Dad
flfl	Dad
Dp	amx
ppan	amx
CG12301	amx
fs(1)K10	amx
drm	amx
CG1244	amx
Rca1	amx
CG9769	amx
Rbp9	amx
hyx	amx
Arc-p34	amx
Pgant35A	Ank2
CG18369	Ank2
mbl	CG34417
mri	CG34417
gkt	CG34417
pn	CG34417
dah	CG34417
ash2	CG34417
kkv	CG34417
cort	CG34417
Pen	CG34417
LCBP1	CG34417
dos	CG34417
bap	CG34417
Ggamma1	scra
chrw	scra
ry	scra
Patj	dsd
hyd	dsd
Sema-2a	dsd
jing	Ephrin
wls	Ephrin
par-6	Appl
crc	Appl
LIMK1	sty
elav	sty
enok	sty
lva	sty
Pvr	RhoL
wupA	RhoL
raw	RhoL
Set2	RhoL
Wnt5	RhoL
CG1942	RhoL
pav	RhoL
Rab5	RhoL
dlg1	twi
Cyp1	twi
xmas-2	twi
dsf	twi
CG10641	twi
eve	twi
Hr78	twi
sced	twi
CG13850	twi
cathD	twi
B4	tub
Sobp	tub
rhea	tub
sar1	tub
eve	tub
Cip4	tub
slam	tub
Tm1	tub
ftz-f1	ftz-f1
siz	ftz-f1
emb	wg
bnb	wg
G-salpha60A	wg
run	LanB1
alpha-Spec	LanB1
aft	LanB1
Atg5	LanB1
CSN4	LanA
Wnt5	LanA
Dcp-1	LanA
bcd	LanA
Pk92B	LanA
dnc	LanB2
th	LanB2
fru	LanB2
Pvf1	LanB2
tamo	LanB2
Su(z)12	Chi
CG6416	nmo
ix	nmo
hkb	nmo
CG9509	nmo
E(bx)	nmo
Bap60	nmo
E2f2	nmo
Cct1	Chc
cathD	Chc
14-3-3zeta	Orct
boss	Orct
kis	vlc
brat	vlc
shot	vlc
chic	Nf1
ap	Nf1
slam	Nf1
Galpha73B	Nf1
Ef1gamma	Rho1
ird5	Rho1
Syx1A	Rho1
eff	Rho1
neur	Rho1
MYPT-75D	kuk
Su(var)2-10	kuk
CycB	kuk
sina	kuk
fs(2)ltoPP43	kuk
Rpd3	kuk
dpld	kuk
dom	kuk
l(3)mbt	kuk
tld	kuk
dpld	fs(2)ltoPP43
