Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
kinesin complex (GO:0005871)	1/34	0.06426184667341373890625533249476575292646884918212890625	0.088977941547803640620628584656515158712863922119140625	0.14479822619034454778130793783930130302906036376953125	0.2171973392855167939163862911300384439527988433837890625	-2.0354931377873013	5.586999557216116	cos
nuclear chromatin (GO:0000790)	3/200	0.006909168217197107775273678953453782014548778533935546875	0.024873005581909586603206463450987939722836017608642578125	0.05914119499731491924610082833169144578278064727783203125	0.1315560466063292188731992382599855773150920867919921875	-1.054583779453622	5.246455195345274	bon;E(z);esc
Golgi stack (GO:0005795)	1/25	0.047654056581519006752234446366855991072952747344970703125	0.0686218414773873686129945781431160867214202880859375	0.1096088347945731455990170388758997432887554168701171875	0.171561654461071022570450850253109820187091827392578125	-1.6646282931522087	5.066774823519671	Pgant35A
nucleoplasm part (GO:0044451)	2/157	0.03753969163689345467371794029531884007155895233154296875	0.06267889694774823883260950196927296929061412811279296875	0.1562228676035042618241988066074554808437824249267578125	0.2249609293490461292552851091386401094496250152587890625	-1.2596089120918814	4.13448545233842	E(z);esc
nuclear lumen (GO:0031981)	3/358	0.03232984518424149300575010101965744979679584503173828125	0.061256548770141770743347109373644343577325344085693359375	0.21360760774935982908573350869119167327880859375	0.274638352820605502468964687068364582955837249755859375	-1.07133554778923	3.676571274635707	mbo;pbl;osa
heterochromatin (GO:0000792)	1/43	0.08058731622552141315996010462185950018465518951416015625	0.1036122637185275252580396454504807479679584503173828125	0.17865505703191875142010758281685411930084228515625	0.2382067427092250111453353156321099959313869476318359375	-1.4598739974280324	3.6765671261793975	dmt
nuclear chromosome (GO:0000228)	1/41	0.07698359157204144598285466827292111702263355255126953125	0.102644788762721927977139557697228156030178070068359375	0.171243978893701076504640923303668387234210968017578125	0.2371070476989707020987196983696776442229747772216796875	-1.385254409301571	3.5520180690925756	spn-A
condensed nuclear chromosome (GO:0000794)	1/24	0.04579111372302070714912503035520785488188266754150390625	0.0686218414773873686129945781431160867214202880859375	0.10561449174645549942130884346624952740967273712158203125	0.171561654461071022570450850253109820187091827392578125	-1.0441531005902274	3.219818611297515	spn-A
cytoplasmic vesicle (GO:0031410)	1/60	0.11067050780020294686867288191933766938745975494384765625	0.1328046093602435473446377045547706075012683868408203125	0.23914044175466653285866414080373942852020263671875	0.296863996660965356877426302162348292768001556396484375	-1.1448923182043542	2.5201345554499537	Dl
perinuclear region of cytoplasm (GO:0048471)	1/70	0.1279161765176080878259057271861820481717586517333984375	0.1485478178914158287060587326777749694883823394775390625	0.272704420367008204539871485394542105495929718017578125	0.32724530444040988985676676747971214354038238525390625	-1.2039690694529332	2.4758180360890973	tum
microtubule organizing center (GO:0005815)	1/111	0.195279222530085394549104194084065966308116912841796875	0.2008586288880878367724136523975175805389881134033203125	0.39608874825597062407922521742875687777996063232421875	0.419388086388674807825083235002239234745502471923828125	-1.2711895211236577	2.076265413843631	CycE
spindle (GO:0005819)	1/95	0.169617152235759849343565974777447991073131561279296875	0.1908192962652298374504056255318573676049709320068359375	0.35053125635584703179148391427588649094104766845703125	0.4070685557680804311786459948052652180194854736328125	-1.0296247784392607	1.826772047709763	tum
Golgi subcompartment (GO:0098791)	1/99	0.1761064370845147053490364896788378246128559112548828125	0.19211611318310695128985798874055035412311553955078125	0.362219363103157887540106685264618135988712310791015625	0.407496783491052616543726117015467025339603424072265625	-0.943751355678484	1.6389815624652313	Pgant35A
cytosol (GO:0005829)	3/573	0.1002656937582344642834186743129976093769073486328125	0.12446775776884277942002654526731930673122406005859375	0.480096999824052017569187000844976864755153656005859375	0.4938140569618820752140209151548333466053009033203125	-0.6925408725521611	1.5927966916677947	hpo;cin;Stat92E
centrosome (GO:0005813)	1/108	0.19052718656665224017388027277775108814239501953125	0.2008586288880878367724136523975175805389881134033203125	0.387786437425386265598348245475790463387966156005859375	0.419388086388674807825083235002239234745502471923828125	-0.9548458126498579	1.5830965292103802	CycE
dendrite (GO:0030425)	1/191	0.312434068563516242900135466697975061833858489990234375	0.312434068563516242900135466697975061833858489990234375	0.581657740343057838572349282912909984588623046875	0.581657740343057838572349282912909984588623046875	-0.6560561606345892	0.7632306842439056	cin
