stg	Sry-delta
Moe	inv
chic	shot
Eip63F-1	bon
spen	bon
up	CG3987
l(1)G0289	CG3987
Sb	Alk
PhKgamma	Alk
Pak	Alk
p53	Alk
Tak1	Alk
CSN4	ey
Wnt5	ey
NetB	ey
bcd	ey
SelG	ey
sax	ey
opa	noc
her	ix
CdsA	ix
foxo	Optix
lilli	Optix
spin	Optix
bs	Optix
Fas3	Optix
par-1	Optix
ecd	Optix
bowl	Optix
hyd	sdt
CG13850	sdt
18w	rib
Hem	rib
Snap	Pde8
tum	Pde8
Pi3K92E	Dhc64C
eff	Dhc64C
Optix	foxo
lilli	foxo
rg	foxo
RhoGAP68F	foxo
Moe	foxo
Fas3	CG2681
pdm2	CG2681
betaTub56D	CG2681
up	Lim1
CG8247	Lim1
ird5	Lim1
pbl	Lim1
cactin	Su(H)
cnk	Su(H)
ppan	Su(H)
eg	CG12301
Eip63F-1	Mer
E(z)	Mer
Caf1	Mer
dmt	Mer
qua	Mer
rux	spin
Dhc64C	spin
sax	Pi3K92E
pn	CG2678
dah	CG2678
cort	CG2678
l(2)efl	neur
Pcaf	neur
xl6	neur
CtBP	neur
kuk	neur
yellow-f	lin
dpn	tra
vlc	tra
kis	tra
stg	tra
yrt	tra2
MED24	cathD
tub	cathD
Orct	cathD
Arc42	lva
ttk	lva
Ephrin	Sema-2a
Hmgs	Sema-2a
Uba1	CadN
Ca-alpha1D	CadN
lva	chif
tll	wal
bib	Abd-B
MED11	Abd-B
140up	dsf
Apc2	dsf
bnb	noc
eIF-4a	noc
Bap60	ix
E2f2	ix
snf	ix
trio	ix
knrl	ix
dlg1	Optix
Rack1	sdt
trn	rib
Cyt-c-d	rib
foxo	sas
thr	Mer
asf1	Mer
dj	spin
CG1942	spin
sls	mfas
CG32082	mfas
Apc	mfas
pnut	mfas
xmas-2	frc
sced	frc
Cks30A	frc
G-ialpha65A	frc
how	Krn
gl	Krn
Sulf1	Krn
RhoGAP68F	Ark
Mitf	Ark
Rab5	Ark
kuk	CtBP
Rpd3	CtBP
dpld	CtBP
dom	CtBP
tld	CtBP
mus304	CtBP
shrb	Dad
lic	Dad
bcd	Dad
slam	Dad
flfl	Dad
Dp	amx
ppan	amx
CG12301	amx
fs(1)K10	amx
drm	amx
CG1244	amx
Rca1	amx
CG9769	amx
Rbp9	amx
hyx	amx
Arc-p34	amx
ken	Ank2
CG18369	Ank2
mbl	CG34417
cort	CG34417
CG9104	CG34417
LCBP1	CG34417
dos	CG34417
bap	CG34417
ALiX	scra
Sema-2a	scra
jing	Ephrin
wls	Ephrin
Cct1	Chc
Rab7	Chc
cathD	Orct
scrib	Orct
Pka-C3	Pka-C3
tra	Pka-C3
dpn	vlc
kis	vlc
brat	vlc
stg	vlc
hdc	vlc
shot	fl(2)d
chic	Nf1
rhea	Nf1
ap	Nf1
slam	Nf1
tral	Nf1
cnc	CG6372
Galpha73B	CG6372
Ef1gamma	Rho1
ird5	Rho1
Syx1A	Rho1
eff	Rho1
neur	Rho1
MYPT-75D	kuk
Su(var)2-10	kuk
CycB	kuk
sina	kuk
l(2)efl	kuk
Pcaf	kuk
xl6	kuk
CtBP	kuk
Rpd3	kuk
dpld	kuk
dom	kuk
l(3)mbt	kuk
tld	kuk
asf1	CycE
betaTub56D	CycE
Lim1	CG8247
robo	CG8247
CG32486	run
Sry-delta	run
meso18E	sgg
Rbp9	sgg
prod	sgg
CG2678	sgg
Dys	mbt
Cyp1	mbt
Atg6	Sin3A
Rab5	Sin3A
ken	eve
chinmo	Pgant35A
CG9520	Pgant35A
mri	Pen
gkt	Pen
kkv	Pen
LCBP1	Pen
neur	Pen
Su(var)2-10	tld
CycB	tld
l(2)efl	tld
Pcaf	tld
xl6	tld
CtBP	tld
kuk	tld
Rpd3	tld
dpld	tld
dom	tld
l(3)mbt	tld
Sema-2a	tld
Mmp1	Tl
CG9769	Tl
klar	Tl
oaf	tkv
dnc	tkv
Lac	tkv
knrl	CG4500
qkr58E-3	CG4500
cact	CG8216
Psn	CG8216
numb	Idgf2
bun	Idgf2
her	trio
Pkn	trio
tow	qm
peb	uzip
14-3-3zeta	uzip
msn	uzip
brm	N
CG3829	N
form3	N
tral	N
cnc	CG17470
ey	CG17470
CSN4	SelG
Wnt5	SelG
Tak1	SelG
drk	SelG
bcd	SelG
snf	SelG
trio	her
xmas-2	her
Dredd	pio
W	pio
bnl	chrw
bap	chrw
scra	chrw
sgg	chrw
meso18E	prod
cta	prod
stg	prod
bowl	prod
esc	prd
alien	thr
Dl	thr
Stat92E	thr
CycA	thr
Eip63F-1	thr
E(z)	thr
Caf1	thr
dmt	thr
asf1	thr
tra	thr
kis	stg
meso18E	stg
Rheb	stg
ecd	l(2)37Cc
CG18369	l(2)37Cc
mbl	dos
mri	dos
CG34417	dos
gkt	dos
CG9104	dos
flfl	dos
Dp	Dif
CG1244	Dif
Rca1	Dif
hyx	Dif
Arc-p34	Dif
NAT1	Dif
Sema-1b	Hs6st
fax	Hs6st
rdo	Hs6st
da	asf1
hpo	asf1
tok	asf1
spn-A	asf1
Borr	asf1
CG16719	asf1
Mer	asf1
glu	asf1
CycE	asf1
esc	asf1
alien	asf1
Dl	asf1
Stat92E	asf1
CycA	asf1
Eip63F-1	asf1
E(z)	asf1
Caf1	asf1
dmt	asf1
thr	asf1
d	asf1
rux	Mitf
rib	Mitf
Ark	Mitf
spir	Mitf
nej	Pvf1
xmas-2	Pvf1
Tina-1	Dredd
sced	Dredd
Hph	Dredd
