crc	mus304
MYPT-75D	xl6
dco	pros
ksr	capu
Sobp	Arc42
l(2)efl	bib
Myo31DF	blow
drk	bowl
Trl	Optix
fd59A	Stat92E
RhoGAPp190	cin
mus304	wls
Appl	Prm
Nrt	Pk92B
eve	Dcp-1
alien	bon
Dp	numb
bib	spin
bib	glec
form3	Src64B
bnb	brk
Orct	cathD
Mhc	Mlc1
E2f2	her
Msp-300	140up
cta	bt
stumps	cp309
spn-A	run
qua	CG17221
CG32082	tin
sktl	Mlc1
PebIII	her
lic	mbl
E(bx)	nmo
Rheb	chinmo
Stat92E	wls
Khc	sktl
puc	tra2
Tm1	tll
bowl	Hmgs
yellow-f	Eip63E
asf1	LanA
btl	shrb
CG10641	eIF-4a
Rho1	fog
sprt	dco
Hem	Cp1
CG1942	blow
baz	eIF-4E
CG34417	mus304
trc	Glycogenin
Tak1	poe
pn	CkIIalpha
eve	sle
glec	Ca-alpha1D
wal	abd-A
stil	siz
hyx	Arc-p34
CG34417	Dhc64C
Hr78	Cyt-c-d
Cyp1	Dad
tub	sar1
CG9445	tum
Idgf4	ics
pot	wee
Arc42	flw
pyd	Rack1
ash2	pav
Trl	cg
fw	dom
N	aft
Syb	shrb
CG13850	Ice
thr	alien
sls	Hr78
Sb	Gtp-bp
robo	Rack1
CG34417	twi
tld	stg
bib	Moe
eIF-4E	S6kII
cactin	Hr46
emb	sn
cta	vlc
sls	Hs2st
E(bx)	Idgf5
wal	Src42A
rib	d
e	snf
eya	Eip63F-1
14-3-3zeta	shrb
emp	Su(H)
FKBP59	raw
Rheb	stil
Bap60	nmo
CG32082	CG8247
sax	v
stil	Snap
dib	yellow-f
Sh	foxo
dsf	Optix
CG1244	Dp
fru	FKBP59
sls	CG32082
G-salpha60A	sprt
Cip4	dally
shn	cic
CG17739	kkv
sli	stumps
e	Alh
l(2)efl	tld
Sobp	ftz-f1
glec	Sulf1
ap	brm
eIF-4E	Atpalpha
rdo	lic
Appl	Psn
ena	Sur
CycB	Abd-B
W	CG17739
Rab5	mmy
wupA	Mmp2
Fas3	eff
bigmax	vap
Sin3A	CG14995
grp	inv
elav	phyl
scra	Src42A
Gtp-bp	eve
cnk	alph
l(2)efl	pnt
morgue	fog
Taf4	Arc-p34
CycE	da
E(bx)	her
oaf	Nf1
MED11	l(3)mbt
betaTub56D	ird5
Jra	CG9509
tral	Mmp1
Lar	dsx
numb	sina
Arc-p34	CG1244
Myo61F	Psn
dl	Su(var)2-10
asf1	bcd
tud	gbb
sle	glec
run	Dhc64C
alpha-Spec	fru
Borr	da
fs(1)K10	Idgf2
drk	pav
dsx	Dl
CG33205	ALiX
Hs6st	wal
foxo	lilli
Lim1	Ark
car	l(2)efl
Hr78	Rho1
prod	kis
scra	CG2681
Idgf5	vap
glu	Eip63F-1
Fmr1	Uba1
pnr	RhoGAPp190
crol	Rheb
CG17221	shg
