Pop2	Traf6
lva	Traf6
nej	ap
G-oalpha47A	bcd
ey	bcd
LanA	bcd
CSN4	bcd
Dcp-1	bcd
drk	bcd
NetB	bcd
slam	bcd
SelG	bcd
Khc	bcd
Patj	Atpalpha
Nrx-IV	Atpalpha
CG13850	Atpalpha
eIF-4E	Atpalpha
ecd	Atpalpha
nej	Atpalpha
Es2	pdm2
Pvf1	pdm2
fs(2)ltoPP43	pdm2
sls	tin
Psn	tin
numb	Idgf2
mus304	Idgf2
shot	slam
Dad	slam
tub	slam
Nf1	slam
shrb	slam
bcd	slam
Su(z)12	slam
kay	trio
ix	trio
hkb	trio
bun	trio
E2f2	trio
her	trio
Pkn	trio
Dredd	pio
W	pio
bnl	chrw
scra	chrw
dnc	chrw
dec-1	chrw
Axn	chrw
Sry-delta	prod
sgg	prod
meso18E	prod
stg	prod
bowl	prod
MED4	prd
Cyp1	prd
knrl	prd
hyd	prd
trc	prd
Gtp-bp	prd
wls	prd
par-6	Prm
rdo	Prm
da	thr
hpo	thr
tok	thr
spn-A	thr
Borr	thr
CG16719	thr
bon	thr
cin	thr
Mer	thr
glu	thr
CycE	thr
esc	thr
alien	thr
Dl	thr
Stat92E	thr
CycA	thr
Eip63F-1	thr
E(z)	thr
Caf1	thr
dmt	thr
asf1	thr
tra	thr
Lcp65Ag1	stg
Axn	stg
Sry-delta	stg
vlc	stg
kis	stg
meso18E	stg
Rheb	stg
ecd	l(2)37Cc
klar	l(2)37Cc
enok	Mef2
disco	Mef2
msk	Mef2
stumps	sli
bigmax	sli
chrw	dec-1
CG18369	dec-1
mbl	dos
mri	dos
CG34417	dos
gkt	dos
pn	dos
dah	dos
kkv	dos
cort	dos
CG9104	dos
LCBP1	dos
flfl	dos
Dp	Dif
Ice	Dif
fs(1)K10	Dif
CG1244	Dif
Rca1	Dif
hyx	Dif
Arc-p34	Dif
NAT1	Dif
Sema-1b	Hs6st
fax	Hs6st
rdo	Hs6st
da	asf1
hpo	asf1
tok	asf1
spn-A	asf1
Borr	asf1
CG16719	asf1
ine	asf1
bon	asf1
cin	asf1
Hem	Hmgs
sqd	Dat
d4	Dat
bhr	Dat
lwr	Dat
bib	Lac
Sulf1	Lac
bl	Lac
CG4500	Lac
grp	dup
CG9104	dup
Chc	CG3075
Pde8	sec23
cos	sec23
Src42A	Pkn
qm	Pkn
tra	Pkn
E(bx)	Su(z)12
tum	emp
alph	emp
mbo	emp
osa	emp
peb	Arc42
rdx	Arc42
Dif	flfl
fred	flfl
foxo	qua
Mitf	Lac
shg	dup
ash2	CG18369
kkv	CG18369
cort	CG18369
Pen	CG18369
LCBP1	CG18369
dos	CG18369
Scgdelta	bnl
Ggamma1	bnl
chrw	bnl
emp	bnl
pbl	sec23
cactin	sec23
Cyt-c-d	sec23
d4	dome
Myo31DF	dome
bhr	dome
lwr	dome
cnc	ofs
Crk	ofs
fd59A	ofs
140up	MED4
sno	MED4
sw	MED4
tou	MED4
Moe	MED4
prd	MED4
cathD	MED4
B4	scrib
wg	siz
bnb	siz
msk	siz
emc	cbx
tup	cbx
meso18E	Sry-delta
Rpd3	sina
dpld	sina
dom	sina
Dscam	sina
l(3)mbt	sina
tld	sina
Taf4	Dp
