Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of MAPK cascade (GO:0043410)	Feb-38	0.001788304	0.010657326	0.009293848	0.059399811	-1.53167367	9.690114343	cnk;Pde8
positive regulation of apoptotic signaling pathway (GO:2001235)	01-Dec	0.019626649	0.042637202	0.046678687	0.10665959	-2.443396433	9.604666435	hpo
negative regulation of neurogenesis (GO:0050768)	Feb-41	0.002079493	0.011463203	0.010686641	0.061205309	-1.55513989	9.603970635	Dl;osa
eye-antennal disc development (GO:0035214)	Feb-54	0.003580717	0.017352704	0.017697932	0.089710205	-1.682017388	9.473445408	Stat92E;rdo
appendage segmentation (GO:0035285)	Jan-13	0.021245236	0.043986615	0.050180881	0.109553309	-2.445405252	9.418778148	Dl
regulation of defense response to virus by host (GO:0050691)	Jan-14	0.022861232	0.046459922	0.053670651	0.114896879	-2.490265968	9.409003652	Stat92E
antennal morphogenesis (GO:0048800)	Jan-15	0.02447464	0.047758036	0.057148039	0.118320589	-2.529056038	9.383095831	Dl
cAMP metabolic process (GO:0046058)	01-Oct	0.016381684	0.03969408	0.039636857	0.103409985	-2.2745486	9.352014471	Pde8
regulation of protein modification process (GO:0031399)	Jan-13	0.021245236	0.043986615	0.050180881	0.109553309	-2.425413692	9.341778205	CycE
Malpighian tubule morphogenesis (GO:0007443)	Feb-46	0.002611242	0.013390208	0.013199397	0.070131736	-1.565548595	9.311772126	pbl;thr
meiosis I cytokinesis (GO:0007110)	Jan-17	0.02769371	0.050466638	0.064065842	0.120739471	-2.594924268	9.306825503	pbl
synapsis (GO:0007129)	01-Oct	0.016381684	0.03969408	0.039636857	0.103409985	-2.252868035	9.262872846	CycE
response to purine-containing compound (GO:0014074)	Jan-15	0.02447464	0.047758036	0.057148039	0.118320589	-2.48434436	9.217210239	spn-A
positive regulation of JAK-STAT cascade (GO:0046427)	01-Nov	0.018005466	0.040929951	0.043164027	0.103452912	-2.281230095	9.163883565	CycE
regulation of mitotic metaphase/anaphase transition (GO:0030071)	Jan-15	0.02447464	0.047758036	0.057148039	0.118320589	-2.446900358	9.07828858	CycA
regulation of cytokinesis (GO:0032465)	01-Nov	0.018005466	0.040929951	0.043164027	0.103452912	-2.237545271	8.988398134	tum
positive regulation of STAT cascade (GO:1904894)	01-Nov	0.018005466	0.040929951	0.043164027	0.103452912	-2.232464584	8.967988608	CycE
ovarian fusome organization (GO:0030723)	01-Dec	0.019626649	0.042637202	0.046678687	0.10665959	-2.263773541	8.898592735	Btk29A
regulation of MAP kinase activity (GO:0043405)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-1.921240631	8.580009353	alph
Notch signaling pathway (GO:0007219)	Feb-60	0.004401726	0.020650649	0.021439733	0.100630862	-1.575918968	8.550555903	Su(H);Dl
regulation of antimicrobial humoral response (GO:0002759)	Jan-17	0.02769371	0.050466638	0.064065842	0.120739471	-2.377326116	8.526398863	Stat92E
protein transport along microtubule (GO:0098840)	Jan-14	0.022861232	0.046459922	0.053670651	0.114896879	-2.256055336	8.524082636	cos
peptidyl-tyrosine modification (GO:0018212)	Jan-15	0.02447464	0.047758036	0.057148039	0.118320589	-2.297323562	8.523341045	Btk29A
"imaginal disc fusion, thorax closure (GO:0046529)"	Jan-19	0.030902479	0.054079339	0.070934626	0.127163292	-2.432607873	8.457980185	alph
regulation of neuroblast proliferation (GO:1902692)	Feb-49	0.002957826	0.014822743	0.014818781	0.077798599	-1.45057936	8.447159761	E(z);osa
meiosis II (GO:0007135)	Jan-16	0.026085465	0.04937206	0.060613089	0.118801655	-2.285068722	8.33222208	pbl
dorsal/ventral axis specification (GO:0009950)	Feb-54	0.003580717	0.017352704	0.017697932	0.089710205	-1.46685255	8.261595661	cactin;spn-A
peptidyl-tyrosine phosphorylation (GO:0018108)	Jan-18	0.029299381	0.052738885	0.06750634	0.124561908	-2.337174921	8.250668965	Btk29A
protein complex localization (GO:0031503)	Jan-15	0.02447464	0.047758036	0.057148039	0.118320589	-2.217827404	8.228400934	cos
homologous chromosome segregation (GO:0045143)	01-Nov	0.018005466	0.040929951	0.043164027	0.103452912	-2.045010612	8.214971025	CycE
cyclic nucleotide metabolic process (GO:0009187)	Jan-14	0.022861232	0.046459922	0.053670651	0.114896879	-2.165023592	8.180136238	Pde8
regulation of cell cycle (GO:0051726)	3/122	0.001057105	0.007284112	0.010442664	0.061205309	-1.185959081	8.126454294	CycA;hpo;CycE
regulation of neural precursor cell proliferation (GO:2000177)	Jan-17	0.02769371	0.050466638	0.064065842	0.120739471	-2.25519787	8.08837981	E(z)
oogenesis (GO:0048477)	4/216	0.000423485	0.003890765	0.008021116	0.052795704	-1.038268486	8.064224425	Btk29A;Dl;Stat92E;spn-A
negative regulation of mitotic cell cycle phase transition (GO:1901991)	Jan-16	0.026085465	0.04937206	0.060613089	0.118801655	-2.183570125	7.962119928	CycA
positive regulation of mitotic cell cycle (GO:0045931)	Jan-19	0.030902479	0.054079339	0.070934626	0.127163292	-2.283443344	7.939347219	Dl
morphogenesis of an epithelium (GO:0002009)	Feb-66	0.00530149	0.023615727	0.02548091	0.100630862	-1.501054844	7.865178262	hpo;thr
border follicle cell migration (GO:0007298)	3/121	0.001032267	0.007284112	0.010217023	0.060887934	-1.139635879	7.836134187	hpo;Dl;Stat92E
negative regulation of organ growth (GO:0046621)	Jan-20	0.032503011	0.055991515	0.07435074	0.131154706	-2.270604991	7.780052147	hpo
negative regulation of cell size (GO:0045792)	Jan-22	0.035696387	0.057875393	0.081146623	0.13453256	-2.325885528	7.751492159	pbl
