Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
gland development (GO:0048732)	1/47	0.0140191638059124733250992989042060798965394496917724609375	0.02985429132816387609583586026928969658911228179931640625	0.0300842878217423385922568712658176082186400890350341796875	0.063459875737196858036526236901408992707729339599609375	-1.7838735316022407	7.6123771127120285	dmt
negative regulation of Notch signaling pathway (GO:0045746)	1/53	0.0157969956165046367113635739087840192951261997222900390625	0.02985429132816387609583586026928969658911228179931640625	0.03379333029490867723598768179726903326809406280517578125	0.063459875737196858036526236901408992707729339599609375	-1.828913959862994	7.586217154981029	asf1
eye-antennal disc development (GO:0035214)	1/54	0.016093041038280186949549488417687825858592987060546875	0.02985429132816387609583586026928969658911228179931640625	0.034410399314142463278454187047827872447669506072998046875	0.063459875737196858036526236901408992707729339599609375	-1.7964409206264327	7.418166251678162	rdo
Malpighian tubule morphogenesis (GO:0007443)	1/46	0.0137225984855580233900962383586374926380813121795654296875	0.02985429132816387609583586026928969658911228179931640625	0.0294650082197784844717514118883627816103398799896240234375	0.063459875737196858036526236901408992707729339599609375	-1.6328006957563392	7.0026107629043	thr
cytoskeleton-dependent cytokinesis (GO:0061640)	1/69	0.0205248252881126656832488919235402136109769344329833984375	0.02985429132816387609583586026928969658911228179931640625	0.043628664569322843369558739823332871310412883758544921875	0.063459875737196858036526236901408992707729339599609375	-1.7431824266802827	6.774216328747758	thr
nervous system development (GO:0007399)	2/246	0.002187696464803427776057986875457572750747203826904296875	0.017501571718427422208463895003660582005977630615234375	0.00925748999155056977172773002848771284334361553192138671875	0.05832972250906780231627379862402449361979961395263671875	-1.0901641847978345	6.677153299574303	dmt;thr
trachea development (GO:0060438)	1/20	0.00598576637922618344511693777576510910876095294952392578125	0.0266594151558410992486347623753317748196423053741455078125	0.01325236883210805134691856466133685898967087268829345703125	0.05832972250906780231627379862402449361979961395263671875	-1.2648927431537358	6.4741902058694105	dmt
digestive tract development (GO:0048565)	1/51	0.01520468207873518738659779359068124904297292232513427734375	0.02985429132816387609583586026928969658911228179931640625	0.032558245832145900344745115262412582524120807647705078125	0.063459875737196858036526236901408992707729339599609375	-1.5201595269876558	6.363618642137743	thr
mitotic nuclear division (GO:0140014)	1/67	0.0199348836683841991457288855826845974661409854888916015625	0.02985429132816387609583586026928969658911228179931640625	0.04240364696851252335196846843246021308004856109619140625	0.063459875737196858036526236901408992707729339599609375	-1.620933234070994	6.346414173164904	thr
morphogenesis of an epithelium (GO:0002009)	1/66	0.0196398018398097722048145641338123823516070842742919921875	0.02985429132816387609583586026928969658911228179931640625	0.04179066761005119368110882760447566397488117218017578125	0.063459875737196858036526236901408992707729339599609375	-1.59549305168688	6.270602110131482	thr
mitotic cytokinesis (GO:0000281)	1/65	0.0193446459770806045153079821830033324658870697021484375	0.02985429132816387609583586026928969658911228179931640625	0.0411773743861110208541731481091119349002838134765625	0.063459875737196858036526236901408992707729339599609375	-1.5764652369890586	6.2196907140911915	thr
gonad development (GO:0008406)	1/50	0.0149084139318239987381797817533879424445331096649169921875	0.02985429132816387609583586026928969658911228179931640625	0.031940230146743277261922600018806406296789646148681640625	0.063459875737196858036526236901408992707729339599609375	-1.431400373520968	6.020225963068949	thr
chromatin assembly (GO:0031497)	1/68	0.0202298914790324489698658538827658048830926418304443359375	0.02985429132816387609583586026928969658911228179931640625	0.04301631258146511316287075032960274256765842437744140625	0.063459875737196858036526236901408992707729339599609375	-1.5310502005187645	5.972005213862019	asf1
nucleosome assembly (GO:0006334)	1/64	0.01904941606591865899122950622768257744610309600830078125	0.02985429132816387609583586026928969658911228179931640625	0.040563767176927049973311767416817019693553447723388671875	0.063459875737196858036526236901408992707729339599609375	-1.4979753827792874	5.933059306329563	asf1
branching involved in open tracheal system development (GO:0060446)	1/61	0.01816328189472325715936307233278057537972927093505859375	0.02985429132816387609583586026928969658911228179931640625	0.038721060426279617361355889215701608918607234954833984375	0.063459875737196858036526236901408992707729339599609375	-1.4051181741305017	5.632209931146399	dmt
protein-DNA complex assembly (GO:0065004)	1/69	0.0205248252881126656832488919235402136109769344329833984375	0.02985429132816387609583586026928969658911228179931640625	0.043628664569322843369558739823332871310412883758544921875	0.063459875737196858036526236901408992707729339599609375	-1.4018287246532215	5.447674833860182	asf1
negative regulation of programmed cell death (GO:0043069)	1/89	0.026407983544375006335069855367692071013152599334716796875	0.034639610858671281146126119665495934896171092987060546875	0.0558100284033367921576740400269045494496822357177734375	0.0731880934649121461799126109326607547700405120849609375	-1.3104336883869703	4.762232531062307	dmt
nucleosome organization (GO:0034728)	1/90	0.026701366703559110959975697596746613271534442901611328125	0.034639610858671281146126119665495934896171092987060546875	0.05641582204586977067339859104322385974228382110595703125	0.0731880934649121461799126109326607547700405120849609375	-1.2953149389637602	4.692978519724724	asf1
regulation of mRNA splicing, via spliceosome (GO:0048024)	1/93	0.0275810741789759943098925276672161999158561229705810546875	0.034839251594495988795241459001772454939782619476318359375	0.058231337558001285137354585685898200608789920806884765625	0.0735553737574753119243808896499103866517543792724609375	-1.292919809575642	4.642390785514904	asf1
salivary gland development (GO:0007431)	1/82	0.024352237214996415304302246340739657171070575714111328125	0.03437962900940670640803631386006600223481655120849609375	0.05156075533146285694297006330089061520993709564208984375	0.072791654585594611770460460320464335381984710693359375	-1.2376203752685335	4.597922510832237	dmt
regulation of Notch signaling pathway (GO:0008593)	1/117	0.034594910437972893613167713056100183166563510894775390625	0.04151389252556747511135881723021157085895538330078125	0.0726550907275851642896924431624938733875751495361328125	0.08718610887310219992318849335788399912416934967041015625	-1.2929838846225687	4.349660762529814	asf1
