Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
smoothened signaling pathway (GO:0007224)	1/29	0.0086696032423082998452645853149078902788460254669189453125	0.0177161457560213071726895606161633622832596302032470703125	0.01888876494797279981252557945481385104358196258544921875	0.03945653122465429818443993781329481862485408782958984375	-2.0997469348350486	9.969456191617878	cos
negative regulation of neural precursor cell proliferation (GO:2000178)	1/33	0.009860479780294202634127742612690781243145465850830078125	0.0185377019869531027562725711277380469255149364471435546875	0.02138554763756940479968449153602705337107181549072265625	0.040204829558630479635628063306285184808075428009033203125	-2.1012918193607395	9.70633014822577	osa
sensory organ boundary specification (GO:0008052)	1/27	0.008073717526028416358041539524492691271007061004638671875	0.0172483965328788894921796526205071131698787212371826171875	0.017638464018518797138401765778326080180704593658447265625	0.038558502738157370004490331893975962884724140167236328125	-1.992467085072758	9.601980304581229	Su(H)
negative regulation of neuroblast proliferation (GO:0007406)	1/33	0.009860479780294202634127742612690781243145465850830078125	0.0185377019869531027562725711277380469255149364471435546875	0.02138554763756940479968449153602705337107181549072265625	0.040204829558630479635628063306285184808075428009033203125	-2.05877192170831	9.509921367360288	osa
hemopoiesis (GO:0030097)	1/28	0.00837169768368591256380017995297748711891472339630126953125	0.0174875462725883508430246848774913814850151538848876953125	0.018263773716877672315117564494357793591916561126708984375	0.039018062031511389908811082705142325721681118011474609375	-1.889366573863138	9.036648713537454	Su(H)
regulation of cytoskeleton organization (GO:0051493)	1/33	0.009860479780294202634127742612690781243145465850830078125	0.0185377019869531027562725711277380469255149364471435546875	0.02138554763756940479968449153602705337107181549072265625	0.040204829558630479635628063306285184808075428009033203125	-1.933090286958168	8.929370189644896	tum
negative regulation of canonical Wnt signaling pathway (GO:0090090)	1/35	0.01045547084033117586632233297905258950777351856231689453125	0.0189002742113678935675924464021591120399534702301025390625	0.022632031343223009411946833324691397137939929962158203125	0.04091174896659544035770750269875861704349517822265625	-1.7759848235969682	8.099609510060523	tum
negative regulation of stem cell proliferation (GO:2000647)	1/38	0.01134739875669387755563466413377682329155504703521728515625	0.0201255751533815953335793125233976752497255802154541015625	0.0244993750850777923522283430202151066623628139495849609375	0.043451721849005899012130527125918888486921787261962890625	-1.8019118978022264	8.070343086654637	osa
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	1/23	0.0068810506006341219664701469582723802886903285980224609375	0.016997960438511088010482552590474369935691356658935546875	0.0151340381222083049383986264047052827663719654083251953125	0.03807634663786370332605457633690093643963336944580078125	-1.5753107091506389	7.8434467136746235	Su(H)
negative regulation of multicellular organismal process (GO:0051241)	1/51	0.01520468207873518738659779359068124904297292232513427734375	0.021655153263653144357636648464904283173382282257080078125	0.032558245832145900344745115262412582524120807647705078125	0.0478199235659642896134613465619622729718685150146484375	-1.87300552325994	7.840685568219775	Su(H)
positive regulation of gene expression (GO:0010628)	2/204	0.0015116657770712182799754952355897330562584102153778076171875	0.01207816235079776055749700702790505602024495601654052734375	0.006451512309655919354123287945412812405265867710113525390625	0.0363433018704842070167870815566857345402240753173828125	-1.206137996330456	7.8333151686312235	Su(H);osa
